363,彰化縣,彰化市,天安宮,,天上聖母,聖安路國聖里365巷7之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03044,NULL,120.57630042973085,24.09180441214204
�,湖山路湖山里四鄰八五之一號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03641,NULL,,
397,臺中市,后里區,慈賢宮,,天上聖母,雲頭路月眉里公會巷9號2樓,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03650,NULL,120.70226513642747,24.321823372271183
398,嘉義縣,六腳鄉,副港口宮,,天上聖母,蒜頭村五鄰四十二號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03676,NULL,120.28881252491097,23.495916241049816
399,高雄市,岡山區,聖母宮,,天上聖母,嘉興路80之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03707,NULL,120.30305789183572,22.817933293281776
400,臺南市,善化區,田寮天后宮,,天上聖母,六分寮田寮里5鄰63-1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03719,NULL,,
401,屏東縣,屏東市,屏東市天后宮,,天上聖母,廈門街楠樹里14之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03723,NULL,120.49424684268006,22.670434174482633
402,新北市,土城區,北辰宮,,天上聖母,延壽路延壽里3鄰109巷1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03746,NULL,,
403,新北市,石碇區,石碇彭山天后宮,,天上聖母,崩山彭山里4鄰33之3號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03813,NULL,,
404,臺中市,清水區,寶天宮,,天上聖母,海濱路秀水里190之16號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03830,NULL,120.56172149080419,24.279357853377064
405,臺中市,清水區,壽天宮,,天上聖母,西寧路文昌里18鄰16號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03831,NULL,,
406,臺南市,永康區,聖海宮,,天上聖母,南工街三合里14鄰208巷4之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03851,NULL,,
407,高雄市,岡山區,崑華寺,,天上聖母,山隙路三和里九六巷三六號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03855,NULL,,
408,臺中市,后里區,慈濟宮,,天上聖母,三豐路公館里386號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/03864,NULL,120.73042768252752,24.333845324029397
�區,萬里里成功新?福德宮,,福德正神,環河路萬里里成功新村27鄰環河路旁,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11765,NULL,,
1067,新北市,萬里區,萬里鄉野柳村福德宮,,福德正神,港西中萬里加投段野柳小段98之1號(野柳里),NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11767,NULL,121.69066557481706,25.178558473289737
1068,臺北市,大同區,和德祠,,福德正神,甘谷街永樂里42號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/11773,NULL,121.51061502148336,25.05283379585867
1069,宜蘭縣,三712,臺南市,官田區,天飛宮,,天上聖母,隆田里18鄰中華路一段2195,臺中市,大里區,草湖慈天宮,,天上聖母,西柳街西湖里37號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00583,NULL,120.67880934356718,24.076814779230972
196,新北市,三芝區,小基隆福成宮,,天上聖母,中山路一段38號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00592,NULL,121.50142818270812,25.257081264498556
197,新竹市,東區,新竹內天后宮,,天上聖母,西門街184號興南里西門街184號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00618,NULL,120.96533206504708,24.802657182146483
198,臺中市,大里區,瑞和宮,,天上聖母,瑞和街36號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00638,NULL,120.70385854160823,24.086382223646766
199,高雄市,燕巢區,烏山天后宮,,天上聖母,烏山巷深水里一號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00642,NULL,120.34011834693,22.79046989342056
200,臺中市,太平區,慈興宮,,天上聖母,大興13街93巷68號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00645,NULL,,
201,彰化縣,花壇鄉,天聖宮,,天上聖母,明德街劉厝村50號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00648,NULL,120.5372678039044,24.022251329562987
202,桃園縣,大園鄉,仁德宮,,天上聖母,田心村29鄰30號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00655,NULL,121.19473427718764,25.061222604050016
203,臺中市,大里區,振坤宮,,天上聖母,仁化路518號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00658,NULL,120.70202737011273,24.09643478679981
204,彰化縣,埔鹽鄉,天龍宮,,天上聖母,番金路天盛村67之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00659,NULL,120.42792795581789,23.982800537911928
