36,雲林縣,大埤鄉,三仙宮,,天上聖母,後庄北鎮村一之三號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10331,NULL
37,新北市,三重區,聖佑宮,,天上聖母,中正北路永發里二十五鄰三一七巷十一號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10335,NULL
38,臺中市,大雅區,橫山里永和宮,,天上聖母,橫山里永和路76號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10345,NULL
39,高雄市,六龜區,津鳳宮,,天上聖母,大津里158號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10347,NULL
40,高雄市,六龜區,鳳新宮,,天上聖母,獅山新發里三鄰四八號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10350,NULL
41,臺南市,善化區,糖角民安宮,,天上聖母,中山路313巷12號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10361,NULL
42,高雄市,前鎮區,天安宮,,天上聖母,衙國一街１４０號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10372,NULL
43,苗栗縣,後龍鎮,清天宮,,天上聖母,南港里14鄰,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10383,NULL
44,苗栗縣,苑裡鎮,慈護宮,,天上聖母,山腳里14鄰378號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10389,NULL
45,屏東縣,東港鎮,財團法人屏東縣東港朝隆宮,,天上聖母,延平路108號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10419,NULL
46,雲林縣,土庫鎮,土庫順天宮,,天上聖母,中正路順天里一○九號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10439,NULL
47,臺東縣,臺東市,東海龍門天聖宮,,天上聖母,中華路一段865巷56號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10497,NULL
48,宜蘭縣,三星鄉,忠天宮,,天上聖母,中興路尚武村2鄰27號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10501,NULL
49,臺中市,清水區,朝后宮,,天上聖母,三田路田寮里四鄰14之10號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10503,NULL
50,桃園縣,桃園市,桃園慈護宮,,天上聖母,復興路275號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10540,NULL
51,苗栗縣,苗栗市,安瀾宮,,天上聖母,中華路福星里487號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10543,NULL
52,金門縣,金城鎮,天后宮,,天上聖母,民族路286巷5號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10558,NULL
53,彰化縣,芬園鄉,新興宮,,天上聖母,新興路一段95號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/10592,NULL
