1145,新北市,新莊區,興珍宮,,福德正神,福興里2鄰五工三路50巷23之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00428,NULL,121.46066851865382,25.06512473167357
1146,南投縣,鹿谷鄉,福德宮,,福德正神,永豐巷清水村12號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00430,NULL,120.79148208687113,23.67664079736277
1147,屏東縣,佳冬鄉,福德祠,,福德正神,葫爐路賴家村12鄰,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00438,NULL,,
1148,屏東縣,恆春鎮,古山宮,,福德正神,水泉里白砂路5-1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00442,NULL,120.72603194506837,21.923935760532004
1149,新北市,新莊區,瓊林慶臨宮,,福德正神,瓊林路48號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00443,NULL,121.44496997082109,25.028379971148944
1150,新北市,汐止區,福安宮,,福德正神,福安街53之1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00448,NULL,121.66366519336727,25.064116275119453
1151,苗栗縣,苑裡鎮,福德祀,,福德正神,社苓里,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00454,NULL,,
1152,新北市,新莊區,新莊福德祠,,福德正神,新莊路文德里13鄰207號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00461,NULL,,
1153,桃園縣,大園鄉,大園鄉竹圍村海方厝新興宮,,福德正神,成功街竹圍村五十九巷三弄,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00462,NULL,121.2384281602839,25.101310502370016
1154,宜蘭縣,礁溪鄉,福德廟,,福德正神,武暖路光武村7-17號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00465,NULL,121.76259906153412,24.78231208685691
1155,臺南市,六甲區,六甲福德祠,,福德正神,中正路甲東村,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00483,NULL,120.34938649074232,23.215887870890654
1156,新北市,三峽區,北天玉福宮,,福德正神,建安安坑里7鄰路140之1號前面,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00492,NULL,,
1157,臺中市,大里區,仁化福德宮,,福德正神,慈德路177號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00495,NULL,120.69866390572228,24.09593816939282
1158,臺中市,大里區,樹王里福德祠,,福德正神,福德路40號旁,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00528,NULL,120.66601175933708,24.106591326797464
1159,臺中市,豐原區,三村里福德祠,,福德正神,三和路354巷97弄1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00576,NULL,120.70197330061184,24.231061411441544
1160,臺中市,豐原區,鎌村里山腳福德祠,,福德正神,鎌村路107巷102弄內,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00578,NULL,120.72738031125846,24.23205556428345
1161,臺中市,豐原區,山仔頂福德祠,,福德正神,南陽路綠山巷7弄10號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00580,NULL,120.73355010063908,24.242181061972314
1162,桃園縣,大園鄉,五權村福德宮,,福德正神,下埔五權村4鄰47-3號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00607,NULL,,
1163,臺中市,大里區,草湖福德祠,,福德正神,景庄街160號旁,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00609,NULL,120.686150825014,24.08320711738643
1164,臺中市,大里區,長春福德祠,,福德正神,長春路東湖里208號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00619,NULL,120.68894809714861,24.08659596366344
1165,高雄市,燕巢區,和平福德祠(深水村),,福德正神,深水路深水村九號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00624,NULL,120.41895908905848,22.780651475638624
1166,新北市,新莊區,新莊市集善堂,,福德正神,瓊林路泰豐里4鄰32號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00654,NULL,,
1167,彰化縣,埔鹽鄉,大福宮,,福德正神,埔打路打廉村40號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00661,NULL,120.49100258140054,23.980113036129776
1168,新北市,新莊區,營盤福德宮,,福德正神,福營路103號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00690,NULL,121.4364548869852,25.032703704504687
1169,新北市,新莊區,全安宮,,福德正神,新莊路全安里2鄰523號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00691,NULL,,
1170,屏東縣,恆春鎮,福鑾宮,,福德正神,赤崁路龍水里,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00705,NULL,120.73373167170429,21.97987238162982
1171,基隆市,信義區,麗旭宮,,福德正神,東信路73號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00713,NULL,121.76495779545819,25.127564469939443
1172,新北市,新莊區,俊賢宮,,福德正神,中港路中港里1鄰483巷8號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00720,NULL,,
1173,新北市,新莊區,海山里福德宮,,福德正神,新莊路海山里8鄰637號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00721,NULL,,
1174,新北市,新莊區,新莊頭前庄福德宮,,福德正神,化成路福基里2鄰750號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00756,NULL,,
1175,新北市,新莊區,福德祠,,福德正神,中港路恆安里11鄰108號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00757,NULL,,
1176,新北市,新莊區,平安公廟,,福德正神,思源路177巷32號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00769,NULL,121.4593475161589,25.046335286965324
1177,臺中市,大里區,立仁福德祠,,福德正神,好來五街125巷20號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00774,NULL,120.70060809349265,24.107026180209072
1178,彰化縣,社頭鄉,崙雅庄福德宮,,福德正神,民生路崙雅村421號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00785,NULL,120.58857364596636,23.891022302300822
1179,臺中市,豐原區,鎌村里庄尾福德祠,,福德正神,鎌村路644號旁,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00786,NULL,120.72479004144014,24.221791997758338
1180,臺中市,豐原區,北湳里福德祠,,福德正神,大順街8巷107弄臨6號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00787,NULL,120.7238489140464,24.259311162104144
1181,彰化縣,田尾鄉,福德爺廟,,福德正神,新興路新興村452號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00792,NULL,120.5594833846655,23.902285810749664
1182,桃園縣,大園鄉,桃園縣大園鄉田心村新興路福德宮,,福德正神,新興路田心村九鄰81號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00803,NULL,,
1183,高雄市,鳳山區,福德宮,,福德正神,鎮東街三七號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00826,NULL,120.36494647781588,22.62160523751798
1184,基隆市,信義區,靈山宮,,福德正神,壽山路12之3號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00837,NULL,121.75610860954838,25.13373208144997
1185,桃園縣,蘆竹鄉,福德祀,,福德正神,南崁路錦中村13鄰222號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00839,NULL,,
1186,彰化縣,花壇鄉,福德宮,,福德正神,永春村福德巷31號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00844,NULL,120.57315493258899,24.014271402664484
1187,臺北市,大安區,大安車層景福宮,,福德正神,延吉街華聲里77號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00849,NULL,121.55407421825521,25.042425365176754
1188,桃園縣,蘆竹鄉,桃園縣蘆竹鄉田心土地正神廟,,福德正神,忠孝西路南榮村8鄰28號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00855,NULL,,
1189,嘉義縣,新港鄉,福德祠,,福德正神,西庄村二鄰段三七八號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00872,NULL,120.37926804869686,23.55715337629896
1190,花蓮縣,吉安鄉,花蓮福境宮,,福德正神,建昌路北昌村一九二號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00881,NULL,121.59564548922616,23.986887038986442
1191,新北市,萬里區,磺潭村公館崙福德宮,,福德正神,磺潭村公館崙25號左前方100公尺,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00898,NULL,121.63326179725546,25.212717232745213
1192,新北市,新莊區,福正宮,,福德正神,天泉二街36巷1號,NULL,NULL,http://linked-data.moi.gov.tw/resource/Temple/00919,NULL,121.41550164989208,25.025149409234725
